,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,URT
0,Boba restaurant,ChIJcXLOO8t_VxURIA8IZt4ncsg,33.3010831,44.3682518,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","8929+C7Q, Al, Kindi St, Baghdad",2,149
1,7 chicken restaurant,ChIJNYZ7lzedVxUR8bKcGzoChF0,33.4028186,44.4199301,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","CC39+4XF, Ur street, Baghdad",2,102
2,Pappacedo Restaurant & Cafe باباسيدو,ChIJ2fMpPXmBVxURwNle7uPeHTA,33.3081079,44.4398801,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","8C5R+722, Baghdad",2,395
3,مطعم السندباد Sindbad Restaurant,ChIJgT9fc_eBVxURPR6Jwwy843s,33.3246353,44.4098659,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Baghdad,2,215
4,Rooster Fried Delicious,ChIJ0cKU4VJ_VxUR9oF6XKR2iO0,33.3217744,44.3376801,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","14 Ramadan St, Baghdad",2,33
5,مطعم,ChIJkbHNl6R9VxUR3Bj8gt-WFXU,33.3515015,44.3231546,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","400, Baghdad",2,2
6,مطعم براء بركر Baraa Barger Restaurant,ChIJ0yfpssF5VxURc366waJcfmA,33.37530540000001,44.3662854,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Omar Bin Abdul Aziz St, Baghdad",2,90
7,Lee's restaurant,ChIJIav4OfZ_VxURzG1cwQbOprM,33.313023,44.3388179,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","65 14 Ramadan St, Baghdad",2,24
8,360 restaurant,ChIJR8fs8LJ_VxUR3FhpXKutYqg,33.2960743,44.3448611,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","78WV+CWP, Unnamed Road, Baghdad",2,359
9,D611 restaurant & cafe,ChIJf6A9Q85_VxURKBpYJFqWpxw,33.3067982,44.3356159,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","884P+P68, Unnamed Road،, Baghdad",2,167
10,la siesta restaurant مطعم لاسيستا,ChIJhRqymwB_VxUR0Bt9bizKlro,33.3115915,44.3642226,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","211 211, Kindi St, Baghdad",2,54
11,Ghawar Al-Tooshy Restaurant,ChIJIyk0rul_VxURMmcE_YpwQu8,33.3163053,44.3555851,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8984+G6G, Mansour St, Baghdad",2,3
12,مطعم كرم بغداد - Karam Baghdad Restaurant,ChIJr0GlR2mBVxURPiARG9Qpuuo,33.2901211,44.4232904,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","7CRF+396, Baghdad",2,96
13,Chitirchicken karrada Restaurant,ChIJ4fzceW-BVxURHX58m-eNplY,33.314589,44.4269174,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8C7G+VQ5, Baghdad",2,1
14,MCHA'S Restaurant,ChIJ8e_2vbF_VxURn-9NXRF2IyY,33.3033209,44.3345025,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع, Baghdad",2,346
15,مطعم مشويات,ChIJMX94dCLXWRURSw9i7Nq12oE,33.2384498,44.3158898,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","68Q8+99C, Unnamed Road, Baghdad",2,3
16,Garden city restaurant,ChIJdwQGzbZ_VxURploibrgYqNE,33.3107278,44.3522013,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Garden city restaurant, Baghdad",2,33
17,Bayt Sham Restaurant مطعم بيت الشام,ChIJETdSuP6FVxURtYLNHuEc58U,33.3059164,44.5165449,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8G48+9JP, Baghdad",2,0
18,Nariyo BBQ,ChIJg0n4OgZ_VxURJjzX0V-W7TM,33.3203819,44.3522816,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","89C2+5V8, Rowad St, Baghdad",2,0
19,FataFeat Restaurant,ChIJWbrEWjB-VxURnuKPKvTimYs,33.2909616,44.35361880000001,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","79R3+9FR, Baghdad",2,108
20,مطعم اللؤلؤة,ChIJoZrrFS15VxUR-nV44aASrUg,33.3472657,44.3835275,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","89WM+WC2, Baghdad",2,2
21,City Center Restaurant مطعم ستي سنتر,ChIJ6ek0qoN_VxURmG1_6K0ZO6w,33.3016992,44.393992,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","مول بابيلون, Mansour St, Baghdad",2,2
22,Royal meal restaurant مطعم الوجبة الملكية,ChIJmeZPycd_VxURfSjBKB3CCDc,33.315241,44.3660671,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Ciro mall, Baghdad",2,2
23,Layla Restaurant,ChIJs51MpZJ_VxUR16AIhfeGD4k,33.3128459,44.3336933,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","887P+75G, Baghdad",2,10
24,Happy Time Restaurant,ChIJlR0FOFSEVxURDHjxK6OPRlM,33.3157472,44.5089176,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8G85+7HV, Unnamed Rd,, Baghdad",2,118
25,Aleppo House Restaurant,ChIJsyCsEnyBVxURuDWCIrtXaoA,33.3082515,44.4430335,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","اا، شارع 62, Baghdad",2,1539
26,مأكولات انس,ChIJ4XtXqZ9_VxURv3GlOum7EoU,33.3124147,44.3248199,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","886F+WWW, Baghdad",2,2
27,Diana pizza restaurant بيتزا ديانا,ChIJ-_GCHZWCVxURqh8AYNSYS3A,33.3759585,44.4164592,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CG8+9HP, Baghdad",2,93
28,Grill and Restaurant Imad,ChIJH6St4EV_VxURFVBJXGXENwU,33.3362664,44.3862059,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","89PP+FCQ, الشواكة، بغداد،،, Baghdad",2,2
29,Zarzoor Restaurant - Al Karrada,ChIJo_Sb6puBVxURk6DMtTvTSYQ,33.3050498,44.4311071,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","Fetah Square, Baghdad",2,1427
30,Bestoon Samad Restaurant مطعم بيستون صمد الجادرية,ChIJbZ4XeoB_VxURz3eYYs1wrfg,33.2853785,44.3988463,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","University street, Baghdad",2,348
31,Happy Time Restaurant,ChIJ5dPfTqGcVxURP5ZVJXM_TVs,33.3856834,44.4709505,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","9FPC+798, Baghdad",2,392
32,Nineveh Kabab Restaurant,ChIJw0btn2B-VxURh6Yz0h8zJCI,33.3180433,44.3426619,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Al Mansur St, Baghdad",2,307
33,Latakia Restaurant,ChIJQ8CeIKWBVxURqU8hhh9AXhE,33.2939854,44.4285297,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","7CVH+HC8, Arasat Al-Hindiyah, Baghdad",2,420
34,Samad Restaurant,ChIJR029dfl-VxURolz3DHUpQVI,33.3195237,44.3545183,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Mansour, Baghdad",2,2119
35,Zarzour Restaurant,ChIJ31iqPYt-VxURoEV6bKV_i1s,33.3248295,44.3405356,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",شارع ابو جعفر المنصور بغداد المنصور شارع ابوجعفر النصور,2,2826
36,Eve Restaurant - مطعم أيف,ChIJzVagJeR_VxURMorr5fXPRtw,33.3010232,44.3371209,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","616 Yarmuk Street, Baghdad",2,56
37,مطعم علي الدجيلي,ChIJ-Zri3VjVWRURPGENSu2lCeU,33.2772188,44.3391566,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","78GQ+VMM, 30 St, Baghdad",2,10
38,"Shanaşil, Baghdad Restaurant",ChIJJ_iXlP-BVxURO5x85MTu-SI,33.3304714,44.4005461,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8CJ2+56M, Baghdad",2,112
39,Balcony Restaurant,ChIJgakx-nSBVxUR1k392nAiGGM,33.2926945,44.42581879999999,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","7CVG+38G, Baghdad",2,92
40,Two Palms Restaurant,ChIJVVVVVVV-VxURyw_M_1lsGco,33.3128884,44.36134999999999,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8976+4HP, Baghdad",2,0
41,Nur restaurant,ChIJQysfqUKBVxURtg-m6EqgBA0,33.3159317,44.4176023,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","8C89+929, ابو نؤاس، بغداد،،, Baghdad",2,333
42,Ishtar Restaurant,ChIJT5YGcCzZWRURvmhD9TNGero,33.2683396,44.2283147,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Babylon Terminal, Baghdad International, Airport St, Baghdad",2,6
43,Snap Food restaurant - سناب فود زيونة,ChIJzwSeEb-DVxURGSx9apSCn7M,33.3252482,44.4592506,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","قرب دار الازياء, Baghdad",2,9
44,Levant Restaurant Baghdad,ChIJLWSoinaBVxURnu-dMcR_CZ4,33.2915796,44.38997029999999,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Karada Street, Baghdad",2,48
45,Hundreds Baghdad,ChIJEy4015x_VxURDmCm6vAFVJ0,33.29748,44.3426482,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","78WV+X3R, Yarmuk Street, Baghdad",2,229
46,Jadiriyah Floating Restaurant,ChIJr1MX2b9_VxURiRahEpzySdk,33.2858907,44.3779917,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","79PH+955, Abi Nawas Street, Baghdad",2,1658
47,Muharaja Khan,ChIJdXAdgvF_VxURAMQoinxSf6k,33.3208429,44.3380291,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","88CQ+86M, 14 Ramadan St, Baghdad",2,558
48,City Center Restaurant,ChIJGyRZztiDVxUR8WvvZ254gEk,33.3320313,44.4525546,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8FJ3+R27 Zayouna Mall, Falastin Street, Baghdad",2,3
49,Vibes Restaurant and Cafe,ChIJ_VipOleDVxURwylCdXbVKmE,33.3270025,44.4534744,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","المدرسة العالمية للتايكوندو، مقابل، شارع الربيعي, Baghdad",2,140
50,Check in restaurant,ChIJmxDXofZ5VxURucY3wXpkCew,33.36666170000001,44.36422,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","9987+MM9, Baghdad",2,9
51,Hazhan restaurant,ChIJVVCgvU-BVxUR6Q7kagRKfuc,33.3269659,44.4093905,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8CG5+QPX, Baghdad",2,0
52,Sinnara Restaurant,ChIJWbgR1uZ_VxURNR8nAzQ-SC8,33.2932448,44.3948797,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","79VV+9WM, Baghdad",2,382
53,Barley Burger&Steak بارلي فرع المنصور,ChIJNfRnkl9_VxURgkfPOk719fc,33.3265618,44.3389025,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","14 Ramadan St, Baghdad",2,1551
54,Laymona Restaurant,ChIJ8f6vdqWcVxURLXjXpu5Aqw4,33.3831545,44.4675226,4.0,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","9FM8+7XH, Dakhal St, Baghdad",2,2490
55,China Restaurant,ChIJ-f9wkNKBVxURjnJrIAeCwKQ,33.2935562,44.408119,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Baghdad,2,117
56,Jiddu’s Restaurant,ChIJYcWgKKh-VxURjiIWEGeygZo,33.3584668,44.3238902,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","985F+9HR, Baghdad",2,76
57,ohana restaurant,ChIJ5zS6XnKFVxURkvxCClyxByk,33.3196393,44.5005699,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8G92+V75, Baghdad",2,1
58,Yalanji Restaurant,ChIJOylLP2uDVxUR0BAxIPytRc0,33.3644472,44.40955899999999,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","9C75+QRF, Palestine St, Baghdad",2,544
59,مطعم الحر,ChIJTR85Vjl5VxURO2ysaBQjkDo,33.3366571,44.39514630000001,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","89PW+M3F, Al Rasheed St, Baghdad",2,5
60,Al-Sultan restaurant,ChIJvRjAFsR_VxURgi7Gb3qBomQ,33.2786813,44.3643858,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","جسر الجادرية, Baghdad",2,1135
61,Al-Faisaliya Restaurant & Cafe,ChIJM8FDjraBVxURbxB7FIa8D38,33.2914023,44.4209515,4.2,"['restaurant', 'cafe', 'point_of_interest', 'food', 'establishment']","Arasat Al-Hindiyah, Baghdad",2,1213
62,Latakia Restaurant,ChIJQ8CeIKWBVxURqU8hhh9AXhE,33.2939854,44.4285297,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","7CVH+HC8, Arasat Al-Hindiyah, Baghdad",2,420
63,Abu Ehab Restaurant,ChIJ____v9rVWRURroe8hr9NJxY,33.2653993,44.3317443,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","788J+5M5, Baghdad",2,950
64,Bayarat Al-Sham Restaurant,ChIJw-rZ5dV_VxURPo4i9ofRJPM,33.276032,44.3654739,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","79G8+C58، شارع قطر الندى, Baghdad",2,1948
65,مطعم قاسم ابو الكص,ChIJN5eriuB4VxURf05ZyEhmGkA,33.3673504,44.3635361,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","9987+WCM، الاعظمية، بغداد،, Baghdad",2,3722
66,مطعم الصادق,ChIJUzxy5huCVxUR95qCMxEFLtY,33.33115799999999,44.412956,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","8CJ7+F58, Baghdad",2,145
67,Zarzoor Restaurant - Al Karrada,ChIJo_Sb6puBVxURk6DMtTvTSYQ,33.3050498,44.4311071,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","Fetah Square, Baghdad",2,1427
68,Alsaa'i Restaurant,ChIJA01SafaCVxURVwPCVSGFlXs,33.3584542,44.4238557,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","9C5F+9GQ, Baghdad",2,541
69,Tannourine,ChIJsWnaav-DVxURoyY5s0oyp6U,33.32866850000001,44.4563803,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","8FH4+FH6, Baghdad",2,749
70,Al-Jadriya Restaurant and Gardens,ChIJK1ZkeCB_VxURd2oDh4Re_pw,33.2825725,44.3921581,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","79MR+2VF, Baghdad",2,794
71,Abu Mazen Restaurant,ChIJG4KbknaBVxURHAWMJlSOjyY,33.3010625,44.4401875,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","8C2R+C3Qبغداد, Aqba Bin Nafi Square, Baghdad",2,901
72,Alqahira restaurant,ChIJ5x_fQW94VxURdfzs9LnO2Oo,33.3838034,44.3863327,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","99MP+6QG، الشارع العام, Baghdad",2,623
73,Al-Amakin Restaurant,ChIJFZC5-vGDVxURJMiVmNkdjyk,33.3145029,44.465255,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",Baghdad,2,431
74,مطعم وكافية الجنائن المعلقة,ChIJ9Y6FSHR_VxURlP3ohA3XmCs,33.318014,44.345486,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","Babylon Mall, Baghdad",2,632
75,Al-Saqqa restaurant,ChIJdSPAvb-DVxUREcgChNddleQ,33.3568796,44.4633647,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","9F47+Q85, Baghdad",2,216
76,Strawberry Restaurant,ChIJ_96I4gd4VxURfe_OjNpWN5M,33.3952858,44.3983493,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","99WX+485, 23, Baghdad",2,315
77,Darwish Restaurant,ChIJcQE9t3OEVxUReEFMO5NdqmQ,33.31623,44.481469,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","8F8J+FHX, Baghdad",2,1263
78,Restaurant gardens and palm breezes,ChIJrdDhAQeAVxURqUKhI4gNRCc,33.2599983,44.4068183,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']","مجاور كلية الفارابي, Masafi St, Baghdad",2,81
79,مطعم مسك الشام,ChIJC5lNsjCHVxURSJv6h5CkjIA,33.264275,44.47764979999999,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","7F7H+P32، Unnamed Road, Baghdad",2,174
80,Quick Restaurant,ChIJEbZp9Ot4VxURXJFQxIGx-DU,33.3644541,44.3766787,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","997G+QMF, Baghdad",2,109
81,Saad Restaurant for Baghdadi food,ChIJmSmG2A55VxURsOoeaqk7CHs,33.3433104,44.38814929999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","89VQ+87C, Rashid Street, Baghdad",2,13
82,مطعم ابو زهراء,ChIJ0SB4f9SDVxUROMzygHN9VjI,33.336271,44.41102360000001,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8CP6+GC2, Baghdad",2,0
83,مطعم الرحمن( ماهر ابو الجري ),ChIJv3Ojt0x_VxURENaleYUaBTE,33.3375295,44.3862658,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","89QP+2G6, Baghdad",2,69
84,مطعم كوست,ChIJN5vgm4eBVxURwUWqbfzjCho,33.3094662,44.4383498,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","8C5Q+Q8Q, 52nd St, Baghdad",2,106
85,Restaurant Abu allosh,ChIJCTbQtquDVxURXIa0jkytFnA,33.3434255,44.4337478,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","8CVM+9FH، شارع فلسطين، بغداد،, Baghdad",2,5
86,مطعم ينابيع الشام,ChIJu1qtrBZ_VxURzNkpgt0JOUA,33.3276121,44.3383761,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع 14 رمضان،, بغداد،",2,70
87,مطعم جتر جكن / چتر چكن Chitir chicken Karrada,ChIJWXfze9aBVxURinFFWmCSgjI,33.313709,44.4267787,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","8C7G+FPW, شارع مجاور مستشفى الاهلي، النضال، Baghdad, Baghdad",2,17
88,Happy Time Restaurant,ChIJ5dPfTqGcVxURP5ZVJXM_TVs,33.3856834,44.4709505,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","9FPC+798, Baghdad",2,392
89,مطعم السندباد Sindbad Restaurant,ChIJgT9fc_eBVxURPR6Jwwy843s,33.3246353,44.4098659,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Baghdad,2,215
90,Nineveh Kabab Restaurant,ChIJw0btn2B-VxURh6Yz0h8zJCI,33.3180433,44.3426619,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Al Mansur St, Baghdad",2,307
91,Farooj Al Abdallah Baghdad مطعم فروج العبدالله بغداد,ChIJBXV3lQmDVxURi20OH14IY2Y,33.3283668,44.4570082,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","مقابل دار ألأزياء, Baghdad - Zayoune Street In Front Of Fashion Centre, شارع الزيونة, Baghdad",2,45
92,Chitir Chicken Central Restaurant,ChIJJZBeo3yDVxURl93G9wxBhSM,33.4002466,44.4035699,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","23, Baghdad",2,484
93,Naranj Restaurant,ChIJ8-Ivc-R_VxURqUECEQlrsZU,33.2829903,44.3942255,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","79MV+5MP Jamia St, شارع الجامعة، Baghdad",2,1596
94,Nasim Tigris Restaurant,ChIJt5sBH6x5VxURlLoDKemWPco,33.392538,44.3569193,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",Baghdad,2,360
95,مطعم وفر,ChIJU0zgqIqBVxURjoNbEGMPftQ,33.29473,44.4362453,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Arasat Al-Hindiyah, Baghdad",2,1
